Coach Name,home_matches,home_wins,home_win_rate,away_matches,away_wins,away_win_rate,total_matches
SCOLARI Luiz Felipe (BRA),18,10,55.55555555555556,7,5,71.42857142857143,25
SCHOEN Helmut (FRG),17,12,70.58823529411765,8,4,50.0,25
PARREIRA Carlos Alberto (BRA),13,6,46.15384615384615,10,4,40.0,23
ZAGALLO Mario (BRA),16,11,68.75,4,2,50.0,20
MILUTINOVIC Bora (YUG),10,4,40.0,10,4,40.0,20
HERBERGER Sepp (FRG),11,8,72.72727272727273,7,1,14.285714285714286,18
BEARZOT Enzo (ITA),12,7,58.333333333333336,6,2,33.333333333333336,18
LOEW Joachim (GER),10,7,70.0,8,8,100.0,18
HIDDINK Guus (NED),11,6,54.54545454545455,7,1,14.285714285714286,18
THYS Guy (BEL),7,3,42.857142857142854,9,3,33.333333333333336,16
TABAREZ Oscar (URU),8,2,25.0,8,4,50.0,16
MICHEL Henri (FRA),6,2,33.333333333333336,10,4,40.0,16
BAROTI Lajos (HUN),7,5,71.42857142857143,8,0,0.0,15
BECKENBAUER Franz (GER),9,6,66.66666666666667,5,2,40.0,14
WINTERBOTTOM Walter (ENG),6,3,50.0,8,0,0.0,14
BILARDO Carlos (ARG),9,7,77.77777777777777,5,1,20.0,14
KACHALIN Gavril (URS),8,6,75.0,5,0,0.0,13
ROBSON Bobby (ENG),8,5,62.5,4,0,0.0,12
Louis VAN GAAL (NED),7,3,42.857142857142854,4,4,100.0,11
RAYNOR George (ENG),8,6,75.0,3,0,0.0,11
SABELLA Alejandro (ARG),6,6,100.0,5,1,20.0,11
PIECHNICZEK Antoni (POL),7,4,57.142857142857146,4,0,0.0,11
DOMENECH Raymond (FRA),4,0,0.0,6,4,66.66666666666667,10
LIPPI Marcello (ITA),7,3,42.857142857142854,3,2,66.66666666666667,10
SANTANA Tele (BRA),6,5,83.33333333333333,4,3,75.0,10
DEL BOSQUE Vicente (ESP),5,2,40.0,5,5,100.0,10
RAPPAN Karl (AUT),4,3,75.0,6,0,0.0,10
Sven-G�ran ERIKSSON (SWE),6,3,50.0,4,2,50.0,10
HIDALGO Michel (FRA),4,3,75.0,6,1,16.666666666666668,10
VYTLACIL Rudolf (TCH),3,3,100.0,6,0,0.0,9
VALCAREGGI Ferruccio (ITA),5,4,80.0,4,0,0.0,9
ERICSON Georg (SWE),5,2,40.0,4,0,0.0,9
CHARLTON Jack (ENG),4,0,0.0,5,1,20.0,9
MALDINI Cesare (ITA),6,3,50.0,3,1,33.333333333333336,9
MILJANIC Miljan (SRB),3,1,33.333333333333336,6,1,16.666666666666668,9
Dick ADVOCAAT (NED),4,3,75.0,4,1,25.0,8
BINGHAM Billy (NIR),3,1,33.333333333333336,5,0,0.0,8
CLEMENTE Javier (ESP),5,2,40.0,3,1,33.333333333333336,8
HITZFELD Ottmar (GER),3,1,33.333333333333336,5,2,40.0,8
Javier AGUIRRE (MEX),4,1,25.0,4,2,50.0,8
SACCHI Arrigo (ITA),4,2,50.0,3,2,66.66666666666667,7
SUAREZ Luis (COL),4,1,25.0,3,1,33.333333333333336,7
SVENSSON Tommy (SWE),3,2,66.66666666666667,4,1,25.0,7
WILMOTS Marc (BEL),4,4,100.0,3,1,33.333333333333336,7
TIRNANIC Aleksandar (YUG),3,2,66.66666666666667,4,0,0.0,7
OLSEN Morten (DEN),4,1,25.0,3,2,66.66666666666667,7
PINTO Jorge Luis (COL),3,0,0.0,4,2,50.0,7
HAPPEL Ernst (AUT),4,3,75.0,3,0,0.0,7
PEKERMAN Jose (ARG),4,4,100.0,3,1,33.333333333333336,7
CAPELLO Fabio (ITA),3,0,0.0,4,1,25.0,7
OKADA Takeshi (JPN),3,1,33.333333333333336,4,1,25.0,7
MICHELS Rinus (NED),4,2,50.0,3,3,100.0,7
Carlos QUEIR�S (POR),3,1,33.333333333333336,4,0,0.0,7
GORSKI Kazimierz (POL),4,3,75.0,3,3,100.0,7
PENEV Dimitar (BUL),3,2,66.66666666666667,4,1,25.0,7
LORENZO Juan Carlos (ARG),3,3,100.0,4,0,0.0,7
LOBANOVSKYI Valeriy (UKR),4,2,50.0,3,1,33.333333333333336,7
GMOCH Jacek (POL),3,3,100.0,3,0,0.0,6
GOMEZ Hernan (COL),3,2,66.66666666666667,3,0,0.0,6
GUIMARAES Alexandre (CRC),3,0,0.0,3,1,33.333333333333336,6
LOVRIC Ljubomir (YUG),3,3,100.0,3,0,0.0,6
HOHBERG Juan (URU),3,2,66.66666666666667,3,0,0.0,6
LEMERRE Roger (FRA),3,0,0.0,3,0,0.0,6
SENEKOWITSCH Helmut (AUT),3,3,100.0,3,0,0.0,6
BUSCHNER Georg (GER),3,2,66.66666666666667,3,0,0.0,6
SAADANE Rabah (ALG),3,0,0.0,3,0,0.0,6
EIZAGUIRRE Guillermo (ESP),3,3,100.0,3,0,0.0,6
