Stadium,City,matches,home_win_rate,away_win_rate,lat,lon
Estadio Azteca,Mexico City,19,73.68421052631578,10.526315789473683,19.3029794,-99.15047
Jalisco,Guadalajara,14,71.42857142857143,21.428571428571427,20.6720375,-103.338396
Olympiastadion,Berlin West,14,42.857142857142854,28.57142857142857,38.3326165,-75.361583
Nou Camp - Estadio Le�n,Leon,11,54.54545454545454,27.27272727272727,31.2715127,-95.9953382
Estadio do Maracana,Rio De Janeiro,10,60.0,30.0,-22.9121619,-43.2311861
Nacional,Santiago De Chile,10,90.0,0.0,-33.4410822,-70.5427399
Estadio Centenario,Montevideo,10,100.0,0.0,-34.8945392,-56.1526841
Estadio Nacional,Brasilia,10,70.0,30.0,-15.7837498,-47.8990287
Stade de France,Saint-Denis,9,44.44444444444444,22.22222222222222,48.9244726,2.3601325
Stade du Parc Lescure,Bordeaux,9,33.33333333333333,11.11111111111111,44.829308,-0.5982638
El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires,9,77.77777777777779,0.0,-34.6095579,-58.3887904
Stade V�lodrome,Marseilles,9,77.77777777777779,11.11111111111111,41.3308666,-88.7081293
Parc des Princes,Paris,9,66.66666666666666,11.11111111111111,48.8413634,2.2530693
Wembley Stadium,London,9,66.66666666666666,0.0,51.5560695,-0.2796034
Estadio Mineirao,Belo Horizonte,8,37.5,25.0,-19.8659115,-43.9710434
Estadio Ol�mpico Chateau Carreras,Cordoba,8,62.5,0.0,37.8845813,-4.7760138
Estadio Castelao,Fortaleza,8,62.5,12.5,-3.8067419,-38.5216794
Estadio Sausalito,Vina Del Mar,8,87.5,0.0,-33.0144473,-71.5341445
Rose Bowl,Los Angeles,8,37.5,37.5,34.1613492,-118.1676674
Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth,8,50.0,37.5,-33.9618598,25.6186731
Stade Municipal,Toulouse,8,50.0,12.5,43.6107192,1.4857665
Soccer City Stadium,Johannesburg,8,50.0,25.0,-26.2347063,27.9826439
Rasunda Stadium,Solna,8,75.0,0.0,49.2234674,18.7393139
Cuauhtemoc,Puebla,8,50.0,12.5,19.2233919,-97.3379154
Cape Town Stadium,Cape Town,8,25.0,37.5,-33.9034601,18.4111458
Arena de Sao Paulo,Sao Paulo,8,62.5,12.5,-23.5453327,-46.4743055
Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro,8,100.0,0.0,-22.9110137,-43.2093727
